Level,No,English,Korean
Beginner,776,I want to practice English for 574 minutes today.,오늘은 영어를 574분 동안 연습하고 싶어요.
Beginner,777,I want to practice English for 575 minutes today.,오늘은 영어를 575분 동안 연습하고 싶어요.
Beginner,778,I want to practice English for 576 minutes today.,오늘은 영어를 576분 동안 연습하고 싶어요.
Beginner,779,I want to practice English for 577 minutes today.,오늘은 영어를 577분 동안 연습하고 싶어요.
Beginner,780,I want to practice English for 578 minutes today.,오늘은 영어를 578분 동안 연습하고 싶어요.
Beginner,781,I want to practice English for 579 minutes today.,오늘은 영어를 579분 동안 연습하고 싶어요.
Beginner,782,I want to practice English for 580 minutes today.,오늘은 영어를 580분 동안 연습하고 싶어요.
Beginner,783,I want to practice English for 581 minutes today.,오늘은 영어를 581분 동안 연습하고 싶어요.
Beginner,784,I want to practice English for 582 minutes today.,오늘은 영어를 582분 동안 연습하고 싶어요.
Beginner,785,I want to practice English for 583 minutes today.,오늘은 영어를 583분 동안 연습하고 싶어요.
Beginner,786,I want to practice English for 584 minutes today.,오늘은 영어를 584분 동안 연습하고 싶어요.
Beginner,787,I want to practice English for 585 minutes today.,오늘은 영어를 585분 동안 연습하고 싶어요.
Beginner,788,I want to practice English for 586 minutes today.,오늘은 영어를 586분 동안 연습하고 싶어요.
Beginner,789,I want to practice English for 587 minutes today.,오늘은 영어를 587분 동안 연습하고 싶어요.
Beginner,790,I want to practice English for 588 minutes today.,오늘은 영어를 588분 동안 연습하고 싶어요.
Beginner,791,I want to practice English for 589 minutes today.,오늘은 영어를 589분 동안 연습하고 싶어요.
Beginner,792,I want to practice English for 590 minutes today.,오늘은 영어를 590분 동안 연습하고 싶어요.
Beginner,793,I want to practice English for 591 minutes today.,오늘은 영어를 591분 동안 연습하고 싶어요.
Beginner,794,I want to practice English for 592 minutes today.,오늘은 영어를 592분 동안 연습하고 싶어요.
Beginner,795,I want to practice English for 593 minutes today.,오늘은 영어를 593분 동안 연습하고 싶어요.
Beginner,796,I want to practice English for 594 minutes today.,오늘은 영어를 594분 동안 연습하고 싶어요.
Beginner,797,I want to practice English for 595 minutes today.,오늘은 영어를 595분 동안 연습하고 싶어요.
Beginner,798,I want to practice English for 596 minutes today.,오늘은 영어를 596분 동안 연습하고 싶어요.
Beginner,799,I want to practice English for 597 minutes today.,오늘은 영어를 597분 동안 연습하고 싶어요.
Beginner,800,I want to practice English for 598 minutes today.,오늘은 영어를 598분 동안 연습하고 싶어요.
Beginner,801,I want to practice English for 599 minutes today.,오늘은 영어를 599분 동안 연습하고 싶어요.
Beginner,802,I want to practice English for 600 minutes today.,오늘은 영어를 600분 동안 연습하고 싶어요.
Beginner,803,I want to practice English for 601 minutes today.,오늘은 영어를 601분 동안 연습하고 싶어요.
Beginner,804,I want to practice English for 602 minutes today.,오늘은 영어를 602분 동안 연습하고 싶어요.
Beginner,805,I want to practice English for 603 minutes today.,오늘은 영어를 603분 동안 연습하고 싶어요.
Beginner,806,I want to practice English for 604 minutes today.,오늘은 영어를 604분 동안 연습하고 싶어요.
Beginner,807,I want to practice English for 605 minutes today.,오늘은 영어를 605분 동안 연습하고 싶어요.
Beginner,808,I want to practice English for 606 minutes today.,오늘은 영어를 606분 동안 연습하고 싶어요.
Beginner,809,I want to practice English for 607 minutes today.,오늘은 영어를 607분 동안 연습하고 싶어요.
Beginner,810,I want to practice English for 608 minutes today.,오늘은 영어를 608분 동안 연습하고 싶어요.
Beginner,811,I want to practice English for 609 minutes today.,오늘은 영어를 609분 동안 연습하고 싶어요.
Beginner,812,I want to practice English for 610 minutes today.,오늘은 영어를 610분 동안 연습하고 싶어요.
Beginner,813,I want to practice English for 611 minutes today.,오늘은 영어를 611분 동안 연습하고 싶어요.
Beginner,814,I want to practice English for 612 minutes today.,오늘은 영어를 612분 동안 연습하고 싶어요.
Beginner,815,I want to practice English for 613 minutes today.,오늘은 영어를 613분 동안 연습하고 싶어요.
Beginner,816,I want to practice English for 614 minutes today.,오늘은 영어를 614분 동안 연습하고 싶어요.
Beginner,817,I want to practice English for 615 minutes today.,오늘은 영어를 615분 동안 연습하고 싶어요.
Beginner,818,I want to practice English for 616 minutes today.,오늘은 영어를 616분 동안 연습하고 싶어요.
Beginner,819,I want to practice English for 617 minutes today.,오늘은 영어를 617분 동안 연습하고 싶어요.
Beginner,820,I want to practice English for 618 minutes today.,오늘은 영어를 618분 동안 연습하고 싶어요.
Beginner,821,I want to practice English for 619 minutes today.,오늘은 영어를 619분 동안 연습하고 싶어요.
Beginner,822,I want to practice English for 620 minutes today.,오늘은 영어를 620분 동안 연습하고 싶어요.
Beginner,823,I want to practice English for 621 minutes today.,오늘은 영어를 621분 동안 연습하고 싶어요.
Beginner,824,I want to practice English for 622 minutes today.,오늘은 영어를 622분 동안 연습하고 싶어요.
Beginner,825,I want to practice English for 623 minutes today.,오늘은 영어를 623분 동안 연습하고 싶어요.
Beginner,826,I want to practice English for 624 minutes today.,오늘은 영어를 624분 동안 연습하고 싶어요.
Beginner,827,I want to practice English for 625 minutes today.,오늘은 영어를 625분 동안 연습하고 싶어요.
Beginner,828,I want to practice English for 626 minutes today.,오늘은 영어를 626분 동안 연습하고 싶어요.
Beginner,829,I want to practice English for 627 minutes today.,오늘은 영어를 627분 동안 연습하고 싶어요.
Beginner,830,I want to practice English for 628 minutes today.,오늘은 영어를 628분 동안 연습하고 싶어요.
Beginner,831,I want to practice English for 629 minutes today.,오늘은 영어를 629분 동안 연습하고 싶어요.
Beginner,832,I want to practice English for 630 minutes today.,오늘은 영어를 630분 동안 연습하고 싶어요.
Beginner,833,I want to practice English for 631 minutes today.,오늘은 영어를 631분 동안 연습하고 싶어요.
Beginner,834,I want to practice English for 632 minutes today.,오늘은 영어를 632분 동안 연습하고 싶어요.
Beginner,835,I want to practice English for 633 minutes today.,오늘은 영어를 633분 동안 연습하고 싶어요.
Beginner,836,I want to practice English for 634 minutes today.,오늘은 영어를 634분 동안 연습하고 싶어요.
Beginner,837,I want to practice English for 635 minutes today.,오늘은 영어를 635분 동안 연습하고 싶어요.
Beginner,838,I want to practice English for 636 minutes today.,오늘은 영어를 636분 동안 연습하고 싶어요.
Beginner,839,I want to practice English for 637 minutes today.,오늘은 영어를 637분 동안 연습하고 싶어요.
Beginner,840,I want to practice English for 638 minutes today.,오늘은 영어를 638분 동안 연습하고 싶어요.
Beginner,841,I want to practice English for 639 minutes today.,오늘은 영어를 639분 동안 연습하고 싶어요.
Beginner,842,I want to practice English for 640 minutes today.,오늘은 영어를 640분 동안 연습하고 싶어요.
Beginner,843,I want to practice English for 641 minutes today.,오늘은 영어를 641분 동안 연습하고 싶어요.
Beginner,844,I want to practice English for 642 minutes today.,오늘은 영어를 642분 동안 연습하고 싶어요.
Beginner,845,I want to practice English for 643 minutes today.,오늘은 영어를 643분 동안 연습하고 싶어요.
Beginner,846,I want to practice English for 644 minutes today.,오늘은 영어를 644분 동안 연습하고 싶어요.
Beginner,847,I want to practice English for 645 minutes today.,오늘은 영어를 645분 동안 연습하고 싶어요.
Beginner,848,I want to practice English for 646 minutes today.,오늘은 영어를 646분 동안 연습하고 싶어요.
Beginner,849,I want to practice English for 647 minutes today.,오늘은 영어를 647분 동안 연습하고 싶어요.
Beginner,850,I want to practice English for 648 minutes today.,오늘은 영어를 648분 동안 연습하고 싶어요.
Beginner,851,I want to practice English for 649 minutes today.,오늘은 영어를 649분 동안 연습하고 싶어요.
Beginner,852,I want to practice English for 650 minutes today.,오늘은 영어를 650분 동안 연습하고 싶어요.
Beginner,853,I want to practice English for 651 minutes today.,오늘은 영어를 651분 동안 연습하고 싶어요.
Beginner,854,I want to practice English for 652 minutes today.,오늘은 영어를 652분 동안 연습하고 싶어요.
Beginner,855,I want to practice English for 653 minutes today.,오늘은 영어를 653분 동안 연습하고 싶어요.
Beginner,856,I want to practice English for 654 minutes today.,오늘은 영어를 654분 동안 연습하고 싶어요.
Beginner,857,I want to practice English for 655 minutes today.,오늘은 영어를 655분 동안 연습하고 싶어요.
Beginner,858,I want to practice English for 656 minutes today.,오늘은 영어를 656분 동안 연습하고 싶어요.
Beginner,859,I want to practice English for 657 minutes today.,오늘은 영어를 657분 동안 연습하고 싶어요.
Beginner,860,I want to practice English for 658 minutes today.,오늘은 영어를 658분 동안 연습하고 싶어요.
Beginner,861,I want to practice English for 659 minutes today.,오늘은 영어를 659분 동안 연습하고 싶어요.
Beginner,862,I want to practice English for 660 minutes today.,오늘은 영어를 660분 동안 연습하고 싶어요.
Beginner,863,I want to practice English for 661 minutes today.,오늘은 영어를 661분 동안 연습하고 싶어요.
Beginner,864,I want to practice English for 662 minutes today.,오늘은 영어를 662분 동안 연습하고 싶어요.
Beginner,865,I want to practice English for 663 minutes today.,오늘은 영어를 663분 동안 연습하고 싶어요.
Beginner,866,I want to practice English for 664 minutes today.,오늘은 영어를 664분 동안 연습하고 싶어요.
Beginner,867,I want to practice English for 665 minutes today.,오늘은 영어를 665분 동안 연습하고 싶어요.
Beginner,868,I want to practice English for 666 minutes today.,오늘은 영어를 666분 동안 연습하고 싶어요.
Beginner,869,I want to practice English for 667 minutes today.,오늘은 영어를 667분 동안 연습하고 싶어요.
Beginner,870,I want to practice English for 668 minutes today.,오늘은 영어를 668분 동안 연습하고 싶어요.
Beginner,871,I want to practice English for 669 minutes today.,오늘은 영어를 669분 동안 연습하고 싶어요.
Beginner,872,I want to practice English for 670 minutes today.,오늘은 영어를 670분 동안 연습하고 싶어요.
Beginner,873,I want to practice English for 671 minutes today.,오늘은 영어를 671분 동안 연습하고 싶어요.
Beginner,874,I want to practice English for 672 minutes today.,오늘은 영어를 672분 동안 연습하고 싶어요.
Beginner,875,I want to practice English for 673 minutes today.,오늘은 영어를 673분 동안 연습하고 싶어요.
Beginner,876,I want to practice English for 674 minutes today.,오늘은 영어를 674분 동안 연습하고 싶어요.
Beginner,877,I want to practice English for 675 minutes today.,오늘은 영어를 675분 동안 연습하고 싶어요.
Beginner,878,I want to practice English for 676 minutes today.,오늘은 영어를 676분 동안 연습하고 싶어요.
Beginner,879,I want to practice English for 677 minutes today.,오늘은 영어를 677분 동안 연습하고 싶어요.
Beginner,880,I want to practice English for 678 minutes today.,오늘은 영어를 678분 동안 연습하고 싶어요.
Beginner,881,I want to practice English for 679 minutes today.,오늘은 영어를 679분 동안 연습하고 싶어요.
Beginner,882,I want to practice English for 680 minutes today.,오늘은 영어를 680분 동안 연습하고 싶어요.
Beginner,883,I want to practice English for 681 minutes today.,오늘은 영어를 681분 동안 연습하고 싶어요.
Beginner,884,I want to practice English for 682 minutes today.,오늘은 영어를 682분 동안 연습하고 싶어요.
Beginner,885,I want to practice English for 683 minutes today.,오늘은 영어를 683분 동안 연습하고 싶어요.
Beginner,886,I want to practice English for 684 minutes today.,오늘은 영어를 684분 동안 연습하고 싶어요.
Beginner,887,I want to practice English for 685 minutes today.,오늘은 영어를 685분 동안 연습하고 싶어요.
Beginner,888,I want to practice English for 686 minutes today.,오늘은 영어를 686분 동안 연습하고 싶어요.
Beginner,889,I want to practice English for 687 minutes today.,오늘은 영어를 687분 동안 연습하고 싶어요.
Beginner,890,I want to practice English for 688 minutes today.,오늘은 영어를 688분 동안 연습하고 싶어요.
Beginner,891,I want to practice English for 689 minutes today.,오늘은 영어를 689분 동안 연습하고 싶어요.
Beginner,892,I want to practice English for 690 minutes today.,오늘은 영어를 690분 동안 연습하고 싶어요.
Beginner,893,I want to practice English for 691 minutes today.,오늘은 영어를 691분 동안 연습하고 싶어요.
Beginner,894,I want to practice English for 692 minutes today.,오늘은 영어를 692분 동안 연습하고 싶어요.
Beginner,895,I want to practice English for 693 minutes today.,오늘은 영어를 693분 동안 연습하고 싶어요.
Beginner,896,I want to practice English for 694 minutes today.,오늘은 영어를 694분 동안 연습하고 싶어요.
Beginner,897,I want to practice English for 695 minutes today.,오늘은 영어를 695분 동안 연습하고 싶어요.
Beginner,898,I want to practice English for 696 minutes today.,오늘은 영어를 696분 동안 연습하고 싶어요.
Beginner,899,I want to practice English for 697 minutes today.,오늘은 영어를 697분 동안 연습하고 싶어요.
Beginner,900,I want to practice English for 698 minutes today.,오늘은 영어를 698분 동안 연습하고 싶어요.
Beginner,901,I want to practice English for 699 minutes today.,오늘은 영어를 699분 동안 연습하고 싶어요.
Beginner,902,I want to practice English for 700 minutes today.,오늘은 영어를 700분 동안 연습하고 싶어요.
Beginner,903,I want to practice English for 701 minutes today.,오늘은 영어를 701분 동안 연습하고 싶어요.
Beginner,904,I want to practice English for 702 minutes today.,오늘은 영어를 702분 동안 연습하고 싶어요.
Beginner,905,I want to practice English for 703 minutes today.,오늘은 영어를 703분 동안 연습하고 싶어요.
Beginner,906,I want to practice English for 704 minutes today.,오늘은 영어를 704분 동안 연습하고 싶어요.
Beginner,907,I want to practice English for 705 minutes today.,오늘은 영어를 705분 동안 연습하고 싶어요.
Beginner,908,I want to practice English for 706 minutes today.,오늘은 영어를 706분 동안 연습하고 싶어요.
Beginner,909,I want to practice English for 707 minutes today.,오늘은 영어를 707분 동안 연습하고 싶어요.
Beginner,910,I want to practice English for 708 minutes today.,오늘은 영어를 708분 동안 연습하고 싶어요.
Beginner,911,I want to practice English for 709 minutes today.,오늘은 영어를 709분 동안 연습하고 싶어요.
Beginner,912,I want to practice English for 710 minutes today.,오늘은 영어를 710분 동안 연습하고 싶어요.
Beginner,913,I want to practice English for 711 minutes today.,오늘은 영어를 711분 동안 연습하고 싶어요.
Beginner,914,I want to practice English for 712 minutes today.,오늘은 영어를 712분 동안 연습하고 싶어요.
Beginner,915,I want to practice English for 713 minutes today.,오늘은 영어를 713분 동안 연습하고 싶어요.
Beginner,916,I want to practice English for 714 minutes today.,오늘은 영어를 714분 동안 연습하고 싶어요.
Beginner,917,I want to practice English for 715 minutes today.,오늘은 영어를 715분 동안 연습하고 싶어요.
Beginner,918,I want to practice English for 716 minutes today.,오늘은 영어를 716분 동안 연습하고 싶어요.
Beginner,919,I want to practice English for 717 minutes today.,오늘은 영어를 717분 동안 연습하고 싶어요.
Beginner,920,I want to practice English for 718 minutes today.,오늘은 영어를 718분 동안 연습하고 싶어요.
Beginner,921,I want to practice English for 719 minutes today.,오늘은 영어를 719분 동안 연습하고 싶어요.
Beginner,922,I want to practice English for 720 minutes today.,오늘은 영어를 720분 동안 연습하고 싶어요.
Beginner,923,I want to practice English for 721 minutes today.,오늘은 영어를 721분 동안 연습하고 싶어요.
Beginner,924,I want to practice English for 722 minutes today.,오늘은 영어를 722분 동안 연습하고 싶어요.
Beginner,925,I want to practice English for 723 minutes today.,오늘은 영어를 723분 동안 연습하고 싶어요.
Beginner,926,I want to practice English for 724 minutes today.,오늘은 영어를 724분 동안 연습하고 싶어요.
Beginner,927,I want to practice English for 725 minutes today.,오늘은 영어를 725분 동안 연습하고 싶어요.
Beginner,928,I want to practice English for 726 minutes today.,오늘은 영어를 726분 동안 연습하고 싶어요.
Beginner,929,I want to practice English for 727 minutes today.,오늘은 영어를 727분 동안 연습하고 싶어요.
Beginner,930,I want to practice English for 728 minutes today.,오늘은 영어를 728분 동안 연습하고 싶어요.
Beginner,931,I want to practice English for 729 minutes today.,오늘은 영어를 729분 동안 연습하고 싶어요.
Beginner,932,I want to practice English for 730 minutes today.,오늘은 영어를 730분 동안 연습하고 싶어요.
Beginner,933,I want to practice English for 731 minutes today.,오늘은 영어를 731분 동안 연습하고 싶어요.
Beginner,934,I want to practice English for 732 minutes today.,오늘은 영어를 732분 동안 연습하고 싶어요.
Beginner,935,I want to practice English for 733 minutes today.,오늘은 영어를 733분 동안 연습하고 싶어요.
Beginner,936,I want to practice English for 734 minutes today.,오늘은 영어를 734분 동안 연습하고 싶어요.
Beginner,937,I want to practice English for 735 minutes today.,오늘은 영어를 735분 동안 연습하고 싶어요.
Beginner,938,I want to practice English for 736 minutes today.,오늘은 영어를 736분 동안 연습하고 싶어요.
Beginner,939,I want to practice English for 737 minutes today.,오늘은 영어를 737분 동안 연습하고 싶어요.
Beginner,940,I want to practice English for 738 minutes today.,오늘은 영어를 738분 동안 연습하고 싶어요.
Beginner,941,I want to practice English for 739 minutes today.,오늘은 영어를 739분 동안 연습하고 싶어요.
Beginner,942,I want to practice English for 740 minutes today.,오늘은 영어를 740분 동안 연습하고 싶어요.
Beginner,943,I want to practice English for 741 minutes today.,오늘은 영어를 741분 동안 연습하고 싶어요.
Beginner,944,I want to practice English for 742 minutes today.,오늘은 영어를 742분 동안 연습하고 싶어요.
Beginner,945,I want to practice English for 743 minutes today.,오늘은 영어를 743분 동안 연습하고 싶어요.
Beginner,946,I want to practice English for 744 minutes today.,오늘은 영어를 744분 동안 연습하고 싶어요.
Beginner,947,I want to practice English for 745 minutes today.,오늘은 영어를 745분 동안 연습하고 싶어요.
Beginner,948,I want to practice English for 746 minutes today.,오늘은 영어를 746분 동안 연습하고 싶어요.
Beginner,949,I want to practice English for 747 minutes today.,오늘은 영어를 747분 동안 연습하고 싶어요.
Beginner,950,I want to practice English for 748 minutes today.,오늘은 영어를 748분 동안 연습하고 싶어요.
Beginner,951,I want to practice English for 749 minutes today.,오늘은 영어를 749분 동안 연습하고 싶어요.
Beginner,952,I want to practice English for 750 minutes today.,오늘은 영어를 750분 동안 연습하고 싶어요.
Beginner,953,I want to practice English for 751 minutes today.,오늘은 영어를 751분 동안 연습하고 싶어요.
Beginner,954,I want to practice English for 752 minutes today.,오늘은 영어를 752분 동안 연습하고 싶어요.
Beginner,955,I want to practice English for 753 minutes today.,오늘은 영어를 753분 동안 연습하고 싶어요.
Beginner,956,I want to practice English for 754 minutes today.,오늘은 영어를 754분 동안 연습하고 싶어요.
Beginner,957,I want to practice English for 755 minutes today.,오늘은 영어를 755분 동안 연습하고 싶어요.
Beginner,958,I want to practice English for 756 minutes today.,오늘은 영어를 756분 동안 연습하고 싶어요.
Beginner,959,I want to practice English for 757 minutes today.,오늘은 영어를 757분 동안 연습하고 싶어요.
Beginner,960,I want to practice English for 758 minutes today.,오늘은 영어를 758분 동안 연습하고 싶어요.
Beginner,961,I want to practice English for 759 minutes today.,오늘은 영어를 759분 동안 연습하고 싶어요.
Beginner,962,I want to practice English for 760 minutes today.,오늘은 영어를 760분 동안 연습하고 싶어요.
Beginner,963,I want to practice English for 761 minutes today.,오늘은 영어를 761분 동안 연습하고 싶어요.
Beginner,964,I want to practice English for 762 minutes today.,오늘은 영어를 762분 동안 연습하고 싶어요.
Beginner,965,I want to practice English for 763 minutes today.,오늘은 영어를 763분 동안 연습하고 싶어요.
Beginner,966,I want to practice English for 764 minutes today.,오늘은 영어를 764분 동안 연습하고 싶어요.
Beginner,967,I want to practice English for 765 minutes today.,오늘은 영어를 765분 동안 연습하고 싶어요.
Beginner,968,I want to practice English for 766 minutes today.,오늘은 영어를 766분 동안 연습하고 싶어요.
Beginner,969,I want to practice English for 767 minutes today.,오늘은 영어를 767분 동안 연습하고 싶어요.
Beginner,970,I want to practice English for 768 minutes today.,오늘은 영어를 768분 동안 연습하고 싶어요.
Beginner,971,I want to practice English for 769 minutes today.,오늘은 영어를 769분 동안 연습하고 싶어요.
Beginner,972,I want to practice English for 770 minutes today.,오늘은 영어를 770분 동안 연습하고 싶어요.
Beginner,973,I want to practice English for 771 minutes today.,오늘은 영어를 771분 동안 연습하고 싶어요.
Beginner,974,I want to practice English for 772 minutes today.,오늘은 영어를 772분 동안 연습하고 싶어요.
Beginner,975,I want to practice English for 773 minutes today.,오늘은 영어를 773분 동안 연습하고 싶어요.
Beginner,976,I want to practice English for 774 minutes today.,오늘은 영어를 774분 동안 연습하고 싶어요.
Beginner,977,I want to practice English for 775 minutes today.,오늘은 영어를 775분 동안 연습하고 싶어요.
Beginner,978,I want to practice English for 776 minutes today.,오늘은 영어를 776분 동안 연습하고 싶어요.
Beginner,979,I want to practice English for 777 minutes today.,오늘은 영어를 777분 동안 연습하고 싶어요.
Beginner,980,I want to practice English for 778 minutes today.,오늘은 영어를 778분 동안 연습하고 싶어요.
Beginner,981,I want to practice English for 779 minutes today.,오늘은 영어를 779분 동안 연습하고 싶어요.
Beginner,982,I want to practice English for 780 minutes today.,오늘은 영어를 780분 동안 연습하고 싶어요.
Beginner,983,I want to practice English for 781 minutes today.,오늘은 영어를 781분 동안 연습하고 싶어요.
Beginner,984,I want to practice English for 782 minutes today.,오늘은 영어를 782분 동안 연습하고 싶어요.
Beginner,985,I want to practice English for 783 minutes today.,오늘은 영어를 783분 동안 연습하고 싶어요.
Beginner,986,I want to practice English for 784 minutes today.,오늘은 영어를 784분 동안 연습하고 싶어요.
Beginner,987,I want to practice English for 785 minutes today.,오늘은 영어를 785분 동안 연습하고 싶어요.
Beginner,988,I want to practice English for 786 minutes today.,오늘은 영어를 786분 동안 연습하고 싶어요.
Beginner,989,I want to practice English for 787 minutes today.,오늘은 영어를 787분 동안 연습하고 싶어요.
Beginner,990,I want to practice English for 788 minutes today.,오늘은 영어를 788분 동안 연습하고 싶어요.
Beginner,991,I want to practice English for 789 minutes today.,오늘은 영어를 789분 동안 연습하고 싶어요.
Beginner,992,I want to practice English for 790 minutes today.,오늘은 영어를 790분 동안 연습하고 싶어요.
Beginner,993,I want to practice English for 791 minutes today.,오늘은 영어를 791분 동안 연습하고 싶어요.
Beginner,994,I want to practice English for 792 minutes today.,오늘은 영어를 792분 동안 연습하고 싶어요.
Beginner,995,I want to practice English for 793 minutes today.,오늘은 영어를 793분 동안 연습하고 싶어요.
Beginner,996,I want to practice English for 794 minutes today.,오늘은 영어를 794분 동안 연습하고 싶어요.
Beginner,997,I want to practice English for 795 minutes today.,오늘은 영어를 795분 동안 연습하고 싶어요.
Beginner,998,I want to practice English for 796 minutes today.,오늘은 영어를 796분 동안 연습하고 싶어요.
Beginner,999,I want to practice English for 797 minutes today.,오늘은 영어를 797분 동안 연습하고 싶어요.
Beginner,1000,I want to practice English for 798 minutes today.,오늘은 영어를 798분 동안 연습하고 싶어요.
Intermediate,1,Could you tell me a bit more about that?,그거에 대해 조금 더 말씀해 주실 수 있나요?
Intermediate,2,I’m not sure I follow—could you explain it again?,잘 이해가 안 돼서요—다시 설명해 주실 수 있나요?
Intermediate,3,Let me think about it for a second.,잠깐 생각해 볼게요.
Intermediate,4,That makes sense.,그 말이 맞는 것 같아요.
Intermediate,5,I see your point.,무슨 말씀인지 알겠어요.
Intermediate,6,I’d like to reschedule our meeting.,미팅 일정을 변경하고 싶어요.
Intermediate,7,I’m running a bit late—sorry about that.,조금 늦고 있어요—죄송합니다.
Intermediate,8,Thanks for your patience.,기다려 주셔서 감사합니다.
Intermediate,9,Could you double‑check the bill for me?,계산서를 다시 확인해 주실 수 있나요?
Intermediate,10,I appreciate your help.,도와주셔서 정말 감사해요.
Intermediate,11,What do you think about travel?,여행에 대해 어떻게 생각하세요?
Intermediate,12,What do you think about work?,일에 대해 어떻게 생각하세요?
Intermediate,13,What do you think about food?,음식에 대해 어떻게 생각하세요?
Intermediate,14,What do you think about movies?,영화에 대해 어떻게 생각하세요?
Intermediate,15,What do you think about music?,음악에 대해 어떻게 생각하세요?
Intermediate,16,What do you think about sports?,스포츠에 대해 어떻게 생각하세요?
Intermediate,17,What do you think about health?,건강에 대해 어떻게 생각하세요?
Intermediate,18,What do you think about technology?,기술에 대해 어떻게 생각하세요?
Intermediate,19,What do you think about studying?,공부에 대해 어떻게 생각하세요?
Intermediate,20,What do you think about family?,가족에 대해 어떻게 생각하세요?
Intermediate,21,What do you think about hobbies?,취미에 대해 어떻게 생각하세요?
Intermediate,22,What do you think about culture?,문화에 대해 어떻게 생각하세요?
Intermediate,23,What do you think about language learning?,언어 학습에 대해 어떻게 생각하세요?
Intermediate,24,What do you think about customer service?,고객 서비스에 대해 어떻게 생각하세요?
Intermediate,25,What do you think about time management?,시간 관리에 대해 어떻게 생각하세요?
Intermediate,26,What do you think about exercise?,운동에 대해 어떻게 생각하세요?
Intermediate,27,What do you think about sleep?,수면에 대해 어떻게 생각하세요?
Intermediate,28,What do you think about money?,돈에 대해 어떻게 생각하세요?
Intermediate,29,What do you think about shopping?,쇼핑에 대해 어떻게 생각하세요?
Intermediate,30,What do you think about communication?,소통에 대해 어떻게 생각하세요?
Intermediate,31,"In my opinion, travel is important.",제 생각에는 여행이/가 중요해요.
Intermediate,32,"In my opinion, work is important.",제 생각에는 일이/가 중요해요.
Intermediate,33,"In my opinion, food is important.",제 생각에는 음식이/가 중요해요.
Intermediate,34,"In my opinion, movies is important.",제 생각에는 영화이/가 중요해요.
Intermediate,35,"In my opinion, music is important.",제 생각에는 음악이/가 중요해요.
Intermediate,36,"In my opinion, sports is important.",제 생각에는 스포츠이/가 중요해요.
Intermediate,37,"In my opinion, health is important.",제 생각에는 건강이/가 중요해요.
Intermediate,38,"In my opinion, technology is important.",제 생각에는 기술이/가 중요해요.
Intermediate,39,"In my opinion, studying is important.",제 생각에는 공부이/가 중요해요.
Intermediate,40,"In my opinion, family is important.",제 생각에는 가족이/가 중요해요.
Intermediate,41,"In my opinion, hobbies is important.",제 생각에는 취미이/가 중요해요.
Intermediate,42,"In my opinion, culture is important.",제 생각에는 문화이/가 중요해요.
Intermediate,43,"In my opinion, language learning is important.",제 생각에는 언어 학습이/가 중요해요.
Intermediate,44,"In my opinion, customer service is important.",제 생각에는 고객 서비스이/가 중요해요.
Intermediate,45,"In my opinion, time management is important.",제 생각에는 시간 관리이/가 중요해요.
Intermediate,46,"In my opinion, exercise is important.",제 생각에는 운동이/가 중요해요.
Intermediate,47,"In my opinion, sleep is important.",제 생각에는 수면이/가 중요해요.
Intermediate,48,"In my opinion, money is important.",제 생각에는 돈이/가 중요해요.
Intermediate,49,"In my opinion, shopping is important.",제 생각에는 쇼핑이/가 중요해요.
Intermediate,50,"In my opinion, communication is important.",제 생각에는 소통이/가 중요해요.
Intermediate,51,Could you recommend a good restaurant nearby?,근처에 좋은 식당 추천해 주실 수 있나요?
Intermediate,52,Could you recommend a good cafe nearby?,근처에 좋은 카페 추천해 주실 수 있나요?
Intermediate,53,Could you recommend a good museum nearby?,근처에 좋은 박물관 추천해 주실 수 있나요?
Intermediate,54,Could you recommend a good park nearby?,근처에 좋은 공원 추천해 주실 수 있나요?
Intermediate,55,Could you recommend a good hotel nearby?,근처에 좋은 호텔 추천해 주실 수 있나요?
Intermediate,56,Would you mind if I open the window?,제가 창문을 여는 것 괜찮을까요?
Intermediate,57,Would you mind if I sit here?,제가 여기에 앉는 것 괜찮을까요?
Intermediate,58,Would you mind if I ask a quick question?,제가 짧게 질문하는 것 괜찮을까요?
Intermediate,59,Would you mind if I record this?,제가 이걸 녹음하는 것 괜찮을까요?
Intermediate,60,Would you mind if I take a photo?,제가 사진을 찍는 것 괜찮을까요?
Intermediate,61,I’m planning to visit a new place today.,오늘 새로운 곳을 방문할 계획이에요.
Intermediate,62,I’m planning to visit a new place tomorrow.,내일 새로운 곳을 방문할 계획이에요.
Intermediate,63,I’m planning to visit a new place this weekend.,이번 주말 새로운 곳을 방문할 계획이에요.
Intermediate,64,I’m planning to visit a new place next week.,다음 주 새로운 곳을 방문할 계획이에요.
Intermediate,65,I’m planning to visit a new place next month.,다음 달 새로운 곳을 방문할 계획이에요.
Intermediate,66,I’m planning to study English today.,오늘 영어를 공부할 계획이에요.
Intermediate,67,I’m planning to study English tomorrow.,내일 영어를 공부할 계획이에요.
Intermediate,68,I’m planning to study English this weekend.,이번 주말 영어를 공부할 계획이에요.
Intermediate,69,I’m planning to study English next week.,다음 주 영어를 공부할 계획이에요.
Intermediate,70,I’m planning to study English next month.,다음 달 영어를 공부할 계획이에요.
Intermediate,71,I’m planning to meet a friend today.,오늘 친구를 만날 계획이에요.
Intermediate,72,I’m planning to meet a friend tomorrow.,내일 친구를 만날 계획이에요.
